UniProt ID	Gene	pLDDT	UniProt Annotation	Swiss-Prot	UniProt	AlphaFold-Proteomes	Most frequent hit	Most frequent hit n
A8BHS7	GL50803_14256	71.86	Histone H2A	Histone H2A	Histone H2A	Probable histone H2A.6	Histone H2A	1007
A8BI27	GL50803_5164	89.43	Sugar-proton symporter	Arabinose-proton symporter	MFS transporter	Unplaced genomic scaffold supercont1.3, whole genome shotgun sequence	MFS transporter	333
A8BHD1	GL50803_2342	41.67	Uncharacterized protein	None	None	None	None	0
A8BI09	GL50803_7797	95.17	Alpha-5 giardin	Giardin subunit alpha-5	Giardin subunit alpha-5	Annexin	Annexin	822
A8BI18	GL50803_7807	74.87	WD-40 repeat protein	Guanine nucleotide-binding protein subunit beta	WD40 repeat domain-containing protein	WD repeat-containing protein 61	WD40 repeat domain-containing protein	43
A8BIA6	GL50803_23694	63.22	Uncharacterized protein	Ubiquitin carboxyl-terminal hydrolase 43	Ubiquitin carboxyl-terminal hydrolase	Ubiquitin specific protease 43 (Predicted)	Ubiquitin carboxyl-terminal hydrolase	312
A8BHG1	GL50803_14961	71.96	Vacuolar ATP synthase subunit H	V-type proton ATPase subunit H	Vacuolar ATP synthase subunit H	V-type proton ATPase subunit H	V-type proton ATPase subunit H	77
A8BI43	GL50803_33022	88.43	Exosome complex exonuclease RRP4	Exosome complex component rrp4	Exosome complex exonuclease RRP4	Ribosomal RNA-processing protein 4	Polyribonucleotide nucleotidyltransferase	731
A8BI30	GL50803_5161	89.72	Qb-SNARE 3	Golgi SNAP receptor complex member 2	Sec20-domain-containing	Golgi SNAP receptor complex member 1	t-SNARE coiled-coil homology domain-containing protein	29
A8BHU7	GL50803_16900	67.86	Collagen alpha 1 chain	Polyadenylation factor subunit 2	WD repeat-containing protein 33, variant 2	Guanine nucleotide-binding protein subunit beta-like protein	WD_REPEATS_REGION domain-containing protein	116
A8BI67	GL50803_92673	80.74	CHL1-like protein	ATP-dependent DNA helicase CHL1	ATP-dependent DNA helicase CHL1	ATP-dependent DNA helicase CHL1	DNA helicase	186
A8BI14	GL50803_7799	95.21	Alpha-4 giardin	Giardin subunit alpha-4	Alpha-6 giardin	Annexin	Annexin	774
A8BI42	GL50803_33023	49.47	Uncharacterized protein	None	None	None	None	0
A8BHM2	GL50803_16988	88.82	Kinase, NEK	Probable serine/threonine-protein kinase nek2	Other NEK kinase	Probable serine/threonine-protein kinase nek2	Protein kinase domain-containing protein	480
A8BHE1	GL50803_27141	31.24	Uncharacterized protein	None	None	None	None	0
A8BIE7	GL50803_11207	74.42	Ankyrin repeat protein 1	GA-binding protein subunit beta-2	Ankyrin_rpt-contain_dom domain-containing protein	ANK_REP_REGION domain-containing protein	Ankyrin_rpt-contain_dom domain-containing protein	17
A8BIA8	GL50803_9219	85.62	Ubiquitin-like domain-containing protein	BAG family molecular chaperone regulator 2	Ubiquitin-like domain-containing protein	Ubiquitin-like protein	Ubiquitin-like domain-containing protein	331
A8BIC5	GL50803_92618	90.73	Nicotinamide-nucleotide adenylyltransferase	Probable nicotinate-nucleotide adenylyltransferase	Nicotinamide-nucleotide adenylyltransferase	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase	Probable nicotinate-nucleotide adenylyltransferase	605
A8BIC9	GL50803_17203	71.75	SacB	Exopolysaccharide phosphotransferase SCO6023	SacB	UDP-glucose-4-epimerase	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	81
A8BJ07	GL50803_14361	39.04	Uncharacterized protein	None	None	None	None	0
A8BJ01	GL50803_7114	45.91	Uncharacterized protein	None	None	None	None	0
A8BII2	GL50803_1995	93.22	Proteasome subunit beta	Proteasome subunit beta type-4	Myb_DNA-bind_3 domain-containing protein	Proteasome subunit beta	Proteasome subunit beta	627
A8BIF5	GL50803_17200	41.37	Uncharacterized protein	None	C2 domain-containing protein	None	C2 domain-containing protein	3
A8BJ08	GL50803_7110	86.66	Ubiquitin	Ubiquitin	Ubiquitin 40s ribosomal S27a fusion	Ubiquitin2	Ubiquitin-like domain-containing protein	315
A8BIZ4	GL50803_14364	69.21	Kinase, CAMK CAMKL	Carbon catabolite-derepressing protein kinase	Protein kinase domain-containing protein	Non-specific serine/threonine protein kinase	Non-specific serine/threonine protein kinase	481
A8BIK9	GL50803_3256	74.84	EH domain binding protein epsin 2	Epsin-3	Predicted protein	Telomere length regulation protein TEL2 homolog	ENTH domain-containing protein	12
A8BIY4	GL50803_16552	90	Phosphomevalonate kinase	Phosphomevalonate kinase	Phosphomevalonate kinase	Phosphomevalonate kinase	Mevalonate kinase	319
A8BIN9	GL50803_5822	47.26	C2H2-type domain-containing protein	None	None	None	None	0
A8BIV0	GL50803_24471	32.14	Uncharacterized protein	None	None	None	None	0
A8BJ09	GL50803_14360	85.42	Tenascin-X	Amphiregulin	Tenascin-X	Amphiregulin	Amphiregulin	15
A8BJ04	GL50803_14362	68.35	Uncharacterized protein	None	Receptor kinase	None	Receptor kinase	1
A8BIJ7	GL50803_13945	33.46	Serine/threonine protein kinase	None	None	None	None	0
A8BIJ3	GL50803_21485	33.68	C2H2-type domain-containing protein	Chromosome alignment-maintaining phosphoprotein 1	Chromosome alignment maintaining phosphoprotein 1	Chromosome alignment-maintaining phosphoprotein 1	Chromosome alignment-maintaining phosphoprotein 1	3
A8BIW3	GL50803_7728	88.12	Ankyrin repeat protein 1	Ankyrin-3	Protein 21.1	Ankyrin 1, erythrocytic b	Ankyrin_rpt-contain_dom domain-containing protein	106
A8BIT6	GL50803_24400	77.43	Kinase, NEK	Probable serine/threonine-protein kinase nek2	Kinase, NEK	Probable serine/threonine-protein kinase nek2	Protein kinase domain-containing protein	579
A8BIH6	GL50803_15377	61.35	Metallocarboxypeptidase, M14 family protein	None	ATP/GTP binding protein-like 1	LP17541p	ATP/GTP binding protein-like 1	1
A8BIH0	GL50803_11220	80.36	Qa-SNARE 4	Syntaxin-18	Syntaxin-18	Syntaxin-18	t-SNARE coiled-coil homology domain-containing protein	25
A8BIF9	GL50803_17199	80.75	Sun/nucleolar protein family protein	Multisite-specific tRNA:(cytosine-C(5))-methyltransferase trm4b	tRNA (cytosine(34)-C(5))-methyltransferase	tRNA (cytosine(34)-C(5))-methyltransferase	SAM_MT_RSMB_NOP domain-containing protein	297
A8BIK7	GL50803_3255	70.47	Chromosome segregation ATPase	Coiled-coil domain-containing protein CG32809	Flagellar FliJ protein	Coiled-coil domain-containing protein CG32809	Flagellar FliJ protein	75
A8BIZ7	GL50803_16549	70.15	Uridine kinase	Uridine kinase	Nucleoside kinase	Uridine kinase	Threonine--tRNA ligase	617
A8BIY8	GL50803_86761	58.54	LEK1	None	Chromosome partition protein Smc	None	Methyl-accepting chemotaxis protein	32
A8BIF0	GL50803_92645	88.28	5' nucleotidase family protein	Secreted protein ARB_01864	5' nucleotidase family protein	Metallophos domain-containing protein	Bifunctional metallophosphatase/5'-nucleotidase	138
A8BIJ0	GL50803_13942	38.46	Uncharacterized protein	None	None	None	None	0
A8BIY6	GL50803_16553	88.45	EVE domain-containing protein	Thymocyte nuclear protein 1	EVE domain-containing protein	At2g14660	EVE domain-containing protein	424
A8BIB0	GL50803_14905	82.25	Nuclear LIM interactor-interacting factor 1	Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 2	Protein-serine/threonine phosphatase	Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 2	FCP1 homology domain-containing protein	370
A8BID9	GL50803_11201	71.84	Uncharacterized protein	Poly(U)-binding-splicing factor rnp-6	RNA binding motif protein 19	Poly(U)-binding-splicing factor rnp-6	RRM domain-containing protein	351
A8BIM3	GL50803_7231	86.38	CCAAT-binding transcription factor subunit A	Nuclear transcription factor Y subunit B-3	Histone-fold-containing protein	NF-YB-like protein	CBFD_NFYB_HMF domain-containing protein	493
A8BIE5	GL50803_11204	71.86	Plant adhesion molecule 1	TBC1 domain family member whacked	Growth hormone-regulated TBC protein 1	LD45246p	Rab-GAP TBC domain-containing protein	464
A8BIV6	GL50803_8026	67.83	Cleavage and polyadenylation specificity factor, 73 kDa subunit	Integrator complex subunit 11	Cleavage and polyadenylation specificity factor, 73 kDa subunit	Integrator complex subunit 11	MBL fold metallo-hydrolase	244
A8BIB8	GL50803_23699	31.38	Uncharacterized protein	None	None	None	None	0
A8BII9	GL50803_13941	91.21	histidinol-phosphatase	Probable histidinol-phosphatase	Histidinol-phosphatase	Histidinol-phosphatase	Histidinol-phosphatase	852
A8BIE9	GL50803_11209	63.16	Cathepsin L	Procathepsin L	Cathepsin L	Cathepsin S, ortholog 1	Pept_C1 domain-containing protein	212
A8BIU1	GL50803_6564	92.65	Proliferating cell nuclear antigen	Proliferating cell nuclear antigen	Proliferating cell nuclear antigen	Proliferating cell nuclear antigen	Proliferating cell nuclear antigen	338
A8BIW8	GL50803_16194	61.18	Chromosome segregation protein SMC	None	None	None	None	0
A8BIF2	GL50803_93938	97.74	Triosephosphate isomerase	Triosephosphate isomerase	Triosephosphate isomerase	Triosephosphate isomerase	Triosephosphate isomerase	1520
A8BIM9	GL50803_7236	83	Reduced folate carrier	Thiamine transporter 2	Transporter, major facilitator family protein	Major facilitator superfamily protein	MFS domain-containing protein	333
A8BIY9	GL50803_16550	33.99	Uncharacterized protein	None	None	None	None	0
A8BIN6	GL50803_5823	74.01	Uncharacterized protein	Interferon-stimulated 20 kDa exonuclease-like 2	Exonuclease domain-containing protein	Interferon-stimulated 20 kDa exonuclease-like 2	RNA exonuclease 4	602
A8BIQ0	GL50803_16322	84.55	Neurogenic locus Notch protein	None	Tenascin family protein	None	SEA domain-containing protein	6
A8BIN3	GL50803_32676	60	Ankyrin repeat protein 1	Cortactin-binding protein 2	F-box domain-containing protein	ANK_REP_REGION domain-containing protein	Ankyrin_rpt-contain_dom domain-containing protein	15
A8BIQ2	GL50803_137690	63.68	ATP-dependent RNA helicase	ATP-dependent RNA helicase DBP6	ATP-dependent RNA helicase	ATP-dependent RNA helicase DBP6	RNA helicase	477
A8BIJ2	GL50803_13943	92.76	Eukaryotic translation initiation factor 2 alpha subunit	Eukaryotic translation initiation factor 2 subunit alpha	Eukaryotic translation initiation factor 2 subunit alpha	Unplaced genomic scaffold supercont1.6, whole genome shotgun sequence	Polyribonucleotide nucleotidyltransferase	720
A8BIE4	GL50803_15368	84.08	Katanin p60 ATPase-containing subunit A1	Katanin p60 ATPase-containing subunit A-like 1	Katanin p60 ATPase-containing subunit A1	Katanin p60 ATPase-containing subunit A1	AAA domain-containing protein	391
A8BII4	GL50803_17195	78.62	NECAP PHear domain-containing protein	Adaptin ear-binding coat-associated protein 1	DUF1681 domain-containing protein	Adaptin ear-binding coat-associated protein 2	DUF1681 domain-containing protein	246
A8BIM8	GL50803_7234	45.98	Uncharacterized protein	None	None	None	None	0
A8BIC4	GL50803_17205	84.9	5' nucleotidase family protein	Secreted protein ARB_01864	5' nucleotidase family protein	Metallophos domain-containing protein	Bifunctional metallophosphatase/5'-nucleotidase	130
A8BIM7	GL50803_7233	41.21	Uncharacterized protein	None	None	None	None	0
A8BIN4	GL50803_7046	46.5	Uncharacterized protein	None	None	None	None	0
A8BIQ4	GL50803_114773	56.92	Cysteine protease	Probable cysteine protease RDL4	Cathepsin L	Probable cysteine protease RDL4	Pept_C1 domain-containing protein	194
A8BIV5	GL50803_8025	71.18	Nuclear ATP/GTP-binding protein	Cytosolic carboxypeptidase-like protein 5	ATP/GTP-binding protein-like 5	Cytosolic carboxypeptidase-like protein 5	ATP/GTP-binding protein-like 5	14
A8BIB6	GL50803_9213	61.63	Programmed cell death protein 2 C-terminal domain-containing protein	Programmed cell death protein 2-like	Programmed cell death 2 like	Pcdc2 (Programmed cell death protein 2)-related	PDCD2_C domain-containing protein	102
A8BJ56	GL50803_8816	36.83	Uncharacterized protein	None	LamGL domain-containing protein	Fels-1 prophage protein	DUF3168 domain-containing protein	40
A8BJK0	GL50803_10775	84.48	DNA-directed DNA polymerase	DNA polymerase delta subunit 2	DNA-directed DNA polymerase	DNA polymerase delta small subunit	DNA polymerase II small subunit	234
A8BJN4	GL50803_1376	89.94	Mge1	Protein GrpE	GrpE protein homolog	GrpE protein homolog 1, mitochondrial	Protein GrpE	1352
A8BJE5	GL50803_3209	93.91	Proteasome subunit beta	Proteasome subunit beta type-2-A	20S proteasome beta 4 subunit	Proteasome subunit beta	Proteasome subunit beta	622
A8BJJ7	GL50803_29307	89.09	UTP--glucose-1-phosphate uridylyltransferase	UTP--glucose-1-phosphate uridylyltransferase	UTP--glucose-1-phosphate uridylyltransferase	UTP--glucose-1-phosphate uridylyltransferase	UTP--glucose-1-phosphate uridylyltransferase	426
A8BJJ6	GL50803_10773	52.18	Uncharacterized protein	None	Methyl-accepting transducer domain-containing protein	None	Methyl-accepting transducer domain-containing protein	4
A8BJ58	GL50803_17112	79.08	U3 small nucleolar ribonucleoprotein IMP4	Ribosome production factor 1	Ribosome production factor 1 homolog	AT4g01560/F11O4_6	Brix domain-containing protein	352
A8BJB5	GL50803_13239	34.37	Dynein heavy chain and region D6 of dynein motor containing protein	None	None	None	None	0
A8BJE9	GL50803_13288	63.35	Uncharacterized protein	None	None	None	None	0
A8BJ28	GL50803_14783	82.74	High cysteine membrane protein	Major surface-labeled trophozoite antigen 417	VSP	Furin	Variant-specific surface protein	233
A8BJ64	GL50803_17111	45.73	Uncharacterized protein	DNA-directed RNA polymerase subunit L	Peptidase_S8 domain-containing protein	None	AntA domain-containing protein	9
A8BJI8	GL50803_10762	51.32	Uncharacterized protein	None	Peptidase_M23 domain-containing protein	None	Peptidase_M23 domain-containing protein	1
A8BJ93	GL50803_102051	81.53	Amino acid transporter family	Sodium-coupled neutral amino acid transporter 1	sodium-coupled neutral amino acid transporter 2 isoform X1	Sodium-coupled neutral amino acid transporter 1	Aa_trans domain-containing protein	146
A8BJH4	GL50803_16569	76.27	Transcriptional regulator, Sir2 family	NAD-dependent deacetylase sir2E	Transcriptional regulator, Sir2 family	NAD-dependent deacetylase sir2E	Deacetylase sirtuin-type domain-containing protein	237
A8BJH3	GL50803_16570	46.9	Serine/threonine-protein phosphatase	Serine/threonine-protein phosphatase PP-X homolog 2	Serine/threonine-protein phosphatase	Serine/threonine-protein phosphatase	Serine/threonine-protein phosphatase	180
A8BJ80	GL50803_27852	68.55	Uncharacterized protein	None	None	None	None	0
A8BJ61	GL50803_1656	71.08	Kinase, STE STE11	MAP3K epsilon protein kinase 1	Protein kinase domain-containing protein	MAP3K epsilon protein kinase 1	Protein kinase domain-containing protein	357
A8BJ69	GL50803_22338	74.23	mRNA (guanine-N(7))-methyltransferase	mRNA cap guanine-N7 methyltransferase	mRNA (guanine-N(7)-)-methyltransferase	mRNA cap guanine-N7 methyltransferase	mRNA (guanine-N(7)-)-methyltransferase	332
A8BJM0	GL50803_114042	84.64	High cysteine membrane protein Group 4	None	Variant-specific surface protein	None	Variant-specific surface protein	95
A8BJN2	GL50803_3417	84.22	Preimplantation protein 3	MOB-like protein phocein	Mob1/phocein family protein	Bm11204	Mob1/phocein	48
A8BJI1	GL50803_10756	90.57	Membrane protein	Solute carrier family 35 member F1	Solute carrier family 35 member F1	Os05g0444300 protein	TPT domain-containing protein	143
A8BJB0	GL50803_17102	92.45	Proteasome activator pa28 beta subunit	Proteasome activator complex subunit 2	Proteasome activator pa28 beta subunit	Proteasome activator pa28 beta subunit family pro tein	DUF2959 domain-containing protein	28
A8BJH7	GL50803_29304	80.9	Cathepsin B	Cathepsin B-like CP2	Cathepsin B	Pept_C1 domain-containing protein	Pept_C1 domain-containing protein	298
A8BJM2	GL50803_114044	64.87	Uncharacterized protein	29 kDa ribonucleoprotein A, chloroplastic	Splicing factor, arginine/serine-rich 1	Splicing factor, arginine/serine-rich 1	RRM domain-containing protein	254
A8BJ20	GL50803_2366	75.39	Uncharacterized protein	WD repeat-containing protein 31	WD40 repeat-like protein	Si:ch73-266o15.4	WD_REPEATS_REGION domain-containing protein	78
A8BJ70	GL50803_2906	58.51	IQ calmodulin-binding motif-containing protein	None	None	None	None	0
A8BJ84	GL50803_6423	63.13	Uncharacterized protein	None	Methyl-accepting chemotaxis protein	None	Chemotaxis protein	6
A8BJI4	GL50803_10760	37.47	Uncharacterized protein	None	None	None	None	0
A8BJN3	GL50803_91911	91.34	eIF-2B GDP-GTP exchange factor subunit alpha	Translation initiation factor eIF-2B subunit alpha	Translation initiation factor eIF-2B subunit alpha	Translation initiation factor eIF-2B subunit alpha	Methylthioribose-1-phosphate isomerase	468
A8BJ39	GL50803_8827	67.5	Protein required for cell viability, possible role in assembly of the ribosome	Pre-rRNA-processing protein IPI3	DEKNAAC105637	Protein ROOT INITIATION DEFECTIVE 3	F-box domain-containing protein	94
A8BJN0	GL50803_101943	91.38	GINS complex protein	Probable DNA replication complex GINS protein PSF2	Sld5 domain-containing protein	Probable DNA replication complex GINS protein PSF2	DNA replication complex GINS protein PSF2	273
A8BJ82	GL50803_17106	90.55	26S protease regulatory subunit 8	26S proteasome regulatory subunit 8	AAA domain-containing protein	Proteasome (Prosome, macropain) 26S subunit, ATPase, 5	AAA domain-containing protein	406
A8BJF7	GL50803_16774	58.48	Trichohyalin	None	Jnk-SapK_ap_N domain-containing protein	None	Jnk-SapK_ap_N domain-containing protein	1
A8BJ49	GL50803_8821	65.61	Uncharacterized protein	Cytoskeleton-associated protein 2	Molecular chaperone DnaJ	BUB1 N-terminal domain-containing protein	Tetratricopeptide repeat protein	27
A8BJ98	GL50803_17104	69.26	EF-hand domain-containing protein	EF-hand calcium-binding domain-containing protein 9	EF-hand domain-containing protein	EF-hand calcium-binding domain-containing protein 9	EF-hand domain-containing protein	106
A8BJ21	GL50803_104031	81.36	Glycogen [starch] synthase	Glycogen [starch] synthase, liver	Glycogen [starch] synthase	Glycogen [starch] synthase	Glycogen [starch] synthase	321
A8BJ86	GL50803_6422	63.85	KOW domain-containing protein	Endonuclease MutS2	Transcription elongation factor SPT5	Tudor/PWWP/MBT superfamily protein	Endonuclease MutS2	5
A8BJ52	GL50803_8819	76.26	Cia2	MIP18 family protein galla-2	FeS_assembly_P domain-containing protein	FeS_assembly_P domain-containing protein	FeS_assembly_P domain-containing protein	299
A8BJA4	GL50803_17103	86.31	Origin recognition complex subunit 1	Origin recognition complex subunit 1	Origin recognition complex subunit 1	Origin recognition complex subunit 1	AAA domain-containing protein	208
A8BJ60	GL50803_1657	77.25	Translation initiation factor	Protein translation factor SUI1 homolog 2	Translation initiation factor	Os04g0627900 protein	SUI1 domain-containing protein	311
A8BJM8	GL50803_3419	87.4	Coiled-coil domain-containing protein 153	None	Coiled-coil domain-containing protein 153	Coiled-coil domain-containing protein 153	Coiled-coil domain-containing protein 153	17
A8BJ13	GL50803_7103	82.99	Kinase, NEK	Probable serine/threonine-protein kinase nek2	Protein kinase domain-containing protein	Probable serine/threonine-protein kinase nek2	Protein kinase domain-containing protein	487
A8BJ76	GL50803_14200	66.52	Molybdenum cofactor sulfurase	Molybdenum cofactor sulfurase	Aminotran_5 domain-containing protein	Molybdenum cofactor sulfurase	Molybdenum cofactor sulfurase	212
A8BJM1	GL50803_114043	29.49	Uncharacterized protein	None	None	None	None	0
A8BJM7	GL50803_3421	30.11	Uncharacterized protein	None	None	None	None	0
A8BJL2	GL50803_15284	68.49	Phosphate-starvation-inducible E	None	Phosphate-starvation-inducible E-like protein	None	Phosphate-starvation-inducible E-like protein	6
A8BJG6	GL50803_13143	66.57	Uncharacterized protein	None	None	None	None	0
A8BJG3	GL50803_2825	90.25	Ribonucloprotein	13 kDa ribonucleoprotein-associated protein	Nuclear pore complex protein	Ribonucloprotein	40S ribosomal protein S12	222
A8BJF0	GL50803_3211	69.21	Transposase Tc1-like domain-containing protein	Paired box protein Pax-5	DDE superfamily endonuclease domain-containing protein	Paired domain-containing protein	HTH_Tnp_Tc3_2 domain-containing protein	201
A8BJ43	GL50803_37711	76.1	Uncharacterized protein	Taste receptor type 2 member 3	G_PROTEIN_RECEP_F1_2 domain-containing protein	G_PROTEIN_RECEP_F1_2 domain-containing protein	G_PROTEIN_RECEP_F1_2 domain-containing protein	253
A8BJH8	GL50803_10755	74.75	Splicing factor 3A subunit 2	Splicing factor 3A subunit 2	Splicing factor 3A subunit 2	Matrin-type domain-containing protein	Matrin-type domain-containing protein	128
A8BJ23	GL50803_1903	95.19	DNA methyltransferase	Methyltransferase N6AMT1	MTS domain-containing protein	Bm2532	Release factor glutamine methyltransferase	287
A8BJF5	GL50803_2486	77.75	Cytosine deaminase	tRNA-specific adenosine deaminase 2	CMP/dCMP-type deaminase domain-containing protein	tRNA-specific adenosine deaminase 2	tRNA-specific adenosine deaminase	742
A8BJ79	GL50803_6427	89.3	Major facilitator family transporter	Probable hexose phosphate transport protein	MFS domain-containing protein	Probable major facilitator superfamily (MFS) transporter	MFS transporter	328
A8BJG5	GL50803_2824	30.77	Uncharacterized protein	None	None	None	None	0
A8BJ46	GL50803_8822	86.13	phosphoglycerate mutase (2,3-diphosphoglycerate-independent)	Probable 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	Phosphoglycerate mutase (2,3-diphosphoglycerate-independent)	Phosphoglycerate mutase (2,3-diphosphoglycerate-independent)	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	744
A8BJR8	GL50803_3762	60.21	Ankyrin repeat protein 1	KN motif and ankyrin repeat domain-containing protein 2	Ankyrin_rpt-contain_dom domain-containing protein	S-acyltransferase	Ankyrin_rpt-contain_dom domain-containing protein	49
A8BJP8	GL50803_17000	95.59	Peptidyl-prolyl cis-trans isomerase	Peptidyl-prolyl cis-trans isomerase B1	Peptidyl-prolyl cis-trans isomerase	Peptidyl-prolyl cis-trans isomerase	Peptidyl-prolyl cis-trans isomerase	841
A8BK39	GL50803_17273	72.49	Uncharacterized protein	None	UPF0202 protein	AT21585p	DUF4804 domain-containing protein	15
A8BJQ4	GL50803_31998	63.91	Nuclear pore protein	None	Nuclear pore protein	None	Nuclear pore protein	6
A8BK91	GL50803_37578	53.33	Uncharacterized protein	None	None	None	None	0
A8BJP4	GL50803_16998	68.72	Uncharacterized protein	None	Coiled-coil domain containing 151	None	Coiled-coil domain containing 151	1
A8BKB3	GL50803_10182	50.22	Uncharacterized protein	Mitochondrial import inner membrane translocase subunit Tim17-B	Transmembrane protein	Mitochondrial import inner membrane translocase subunit Tim17-B	Mitochondrial import inner membrane translocase subunit TIM22	29
A8BJV1	GL50803_8883	64.1	Spindle pole protein	None	None	None	None	0
A8BK58	GL50803_15247	81.38	Glucose regulated protein 94 / Heat shock protein 90	Heat shock cognate 90 kDa protein	Grp94/Hsp90	Heat shock cognate 90 kDa protein	Chaperone protein HtpG	420
A8BJU4	GL50803_15244	82.84	Rhomboid family protein	Rhomboid-like protein 20	Transmembrane domain-containing protein	Rhomboid-like protein 20	Rhomboid domain-containing protein	237
A8BKF1	GL50803_17337	59.97	Ribosomal protein P1B	60S acidic ribosomal protein P1-alpha 5	LSU ribosomal protein L12AE/P1B	Ribosomal protein P1B	60S acidic ribosomal protein P1	64
A8BK67	GL50803_33513	57.08	Uncharacterized protein	None	Cilia- and flagella-associated protein 157	None	Cilia- and flagella-associated protein 157	1
A8BK53	GL50803_10572	38.83	Uncharacterized protein	None	None	None	None	0
A8BJQ6	GL50803_2155	74.91	Ankyrin repeat protein	NAD-capped RNA hydrolase NUDT12	Ankyrin repeat domain-containing protein	NAD-capped RNA hydrolase NUDT12	Ankyrin_rpt-contain_dom domain-containing protein	116
A8BKA8	GL50803_87261	40.01	Uncharacterized protein	None	None	None	None	0
A8BK65	GL50803_23439	88.88	TM2 domain-containing protein	DnaJ homolog subfamily C member 22	MMPL family transporter	TM2 domain-containing protein	TM2 domain-containing protein	429
A8BK43	GL50803_10568	57.05	U3-containing 90S pre-ribosomal complex subunit	Protein CMSS1	MFS domain-containing protein	Unplaced genomic scaffold supercont1.5, whole genome shotgun sequence	ATP-dependent RNA helicase DDX1	6
A8BK23	GL50803_7829	65.71	Coiled-coil protein	None	AAA family ATPase	None	AAA family ATPase	1
A8BJQ0	GL50803_2605	40.22	Uncharacterized protein	ADP-ribosylation factor GTPase-activating protein AGD3	Hemolysin	ADP-ribosylation factor GTPase-activating protein AGD4	zf-RING_7 domain-containing protein	20
A8BK32	GL50803_87208	84.36	tRNA pseudouridine(55) synthase	tRNA pseudouridine synthase Pus10	tRNA pseudouridine(55) synthase	tRNA pseudouridine(55) synthase	tRNA pseudouridine(55) synthase	593
A8BJT5	GL50803_5374	90.6	Tubulin specific chaperone B	Tubulin-folding cofactor B	Tubulin specific chaperone B	Os04g0692100 protein	CAP-Gly domain-containing protein	266
A8BJN8	GL50803_3590	39.01	Uncharacterized protein	None	L domain-like protein	None	L domain-like protein	1
A8BK98	GL50803_10192	79.19	Uncharacterized protein	Eukaryotic translation initiation factor 4E-4	Type I restriction enzyme R Protein	Eukaryotic translation initiation factor 4E-4	Lrp/AsnC family transcriptional regulator	23
A8BKA3	GL50803_10190	60.84	protein-serine/threonine phosphatase	RNA polymerase II subunit A C-terminal domain phosphatase	Protein-serine/threonine phosphatase	RNA polymerase II subunit A C-terminal domain phosphatase	FCP1 homology domain-containing protein	377
A8BK61	GL50803_10577	88.15	Nop domain-containing protein	Nucleolar protein 56	Nop domain-containing protein	Nop domain-containing protein	Nop domain-containing protein	353
A8BK59	GL50803_15248	89.43	Rab-GTPase-TBC domain-containing protein	Cell division control protein 16	Rab-GAP TBC domain-containing protein	Cell division control protein 16	Rab-GAP TBC domain-containing protein	449
A8BJW5	GL50803_8890	45.24	Uncharacterized protein	None	DUF1565 domain-containing protein	None	DUF1565 domain-containing protein	1
A8BJW1	GL50803_14797	83.48	Uncharacterized protein	Calmodulin-like protein 4	calmodulin-like protein 4 isoform X1	Calmodulin-like protein 4	Calmodulin	178
A8BKD1	GL50803_17333	74.3	Kinesin-like protein	Kinesin-like protein KIF13B	Kinesin-like protein	Unplaced genomic scaffold supercont1.6, whole genome shotgun sequence	Kinesin-like protein	311
A8BKC6	GL50803_4652	69.34	Ribosomal protein S16	40S ribosomal protein S16-A	SSU ribosomal protein S9P/S16	40S ribosomal protein S16-A	30S ribosomal protein S9	1029
A8BK46	GL50803_10569	55.65	KRI1-like family protein	None	None	None	None	0
A8BKD8	GL50803_17334	45.37	Uncharacterized protein	None	None	None	None	0
A8BK16	GL50803_13720	52.08	Chromosome segregation protein SMC	None	WG repeat-containing protein	None	WG repeat-containing protein	1
A8BK86	GL50803_10196	45.37	RRM domain-containing protein	RNA-binding protein 4.1	RRM domain-containing protein	RNA-binding protein 4.1	RRM domain-containing protein	276
A8BJX2	GL50803_86934	91.6	Kinase, NEK	Cytokinesis protein sepH	Protein kinase domain-containing protein	LD04361p	Protein kinase domain-containing protein	507
A8BKB9	GL50803_15139	46.54	Uncharacterized protein	None	PSCyt1 domain-containing protein	None	PSCyt1 domain-containing protein	1
A8BKB6	GL50803_10181	60.4	Uncharacterized protein	Exportin-6-A	Phosphorylase B kinase gamma catalytic chain	Os05g0592500 protein	GBD/FH3 domain-containing protein	4
A8BJV9	GL50803_8886	84.77	Kinesin-like protein	Kinesin-like protein KIFC3	Kinesin-like protein	Kinesin-like protein KIFC3	Kinesin-like protein	465
A8BJX8	GL50803_102575	83.41	Lipid-binding serum glycoprotein C-terminal domain-containing protein	BPI fold-containing family C protein	BPI domain containing protein	BPI fold-containing family C protein	Bactericidal permeability-increasing protein	112
A8BJW7	GL50803_8892	67.79	U3 small nucleolar RNA-associated protein 6	U3 small nucleolar RNA-associated protein 6 homolog	U3 small nucleolar RNA-associated protein 6-domain-containing protein	Bm9476	Tetratricopeptide repeat protein	257
